Category;Managed by;Beheerder;Name;Naam;Postal code;Municipality;Gemeente;Google Maps;Google Street View;Geo Point;Geo Shape;source;last_update
Tram;STIB;MIVB;Poelaert;Poelaert;1000;Bruxelles;Brussel;https://www.google.com/maps/search/?api=1&query=50.83721937%2C4.35326347;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.83721937%2C4.35326347;50.8372193698, 4.3532634697;"{""coordinates"": [4.3532634697, 50.8372193698], ""type"": ""Point""}";STIB;2025-05-19T02:00:00+02:00
Bus;De Lijn;De Lijn;Brussel Wannecouter;Brussel Wannecouter;1020;Bruxelles;Brussel;https://www.google.com/maps/search/?api=1&query=50.89886972%2C4.35964081;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.89886972%2C4.35964081;50.8988697213, 4.3596408091;"{""coordinates"": [4.3596408091, 50.8988697213], ""type"": ""Point""}";De Lijn;2025-05-19T02:00:00+02:00
Tram;STIB;MIVB;Saint-Denis;Sint-Denijs;1190;Forest;Vorst;https://www.google.com/maps/search/?api=1&query=50.81053753%2C4.31797107;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.81053753%2C4.31797107;50.8105375346, 4.3179710743;"{""coordinates"": [4.3179710743, 50.8105375346], ""type"": ""Point""}";STIB;2025-05-19T02:00:00+02:00
Bus;De Lijn;De Lijn;Sint-Gillis Fonsny;Sint-Gillis Fonsny;1060;Saint-Gilles;Sint-Gillis;https://www.google.com/maps/search/?api=1&query=50.83646174%2C4.33964951;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.83646174%2C4.33964951;50.8364617371, 4.3396495071;"{""coordinates"": [4.3396495071, 50.8364617371], ""type"": ""Point""}";De Lijn;2025-05-19T02:00:00+02:00
Tram;STIB;MIVB;Mennekens;Mennekens;1080;Molenbeek-Saint-Jean;Sint-Jans-Molenbeek;https://www.google.com/maps/search/?api=1&query=50.85582632%2C4.3166588;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.85582632%2C4.3166588;50.8558263189, 4.316658795;"{""coordinates"": [4.316658795, 50.8558263189], ""type"": ""Point""}";STIB;2025-05-19T02:00:00+02:00
Bus;De Lijn;De Lijn;Brussel Suzan Daniel;Brussel Suzan Daniel;1080;Molenbeek-Saint-Jean;Sint-Jans-Molenbeek;https://www.google.com/maps/search/?api=1&query=50.86273082%2C4.3480851;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.86273082%2C4.3480851;50.8627308206, 4.3480850994;"{""coordinates"": [4.3480850994, 50.8627308206], ""type"": ""Point""}";De Lijn;2025-05-19T02:00:00+02:00
Tram;STIB;MIVB;Aviation;Luchtvaart;1150;Woluwe-Saint-Pierre;Sint-Pieters-Woluwe;https://www.google.com/maps/search/?api=1&query=50.83469679%2C4.45660908;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.83469679%2C4.45660908;50.8346967886, 4.4566090845;"{""coordinates"": [4.4566090845, 50.8346967886], ""type"": ""Point""}";STIB;2025-05-19T02:00:00+02:00
Bus;De Lijn;De Lijn;Sint-Lambrechts-Woluwe Kraainem Metro;Sint-Lambrechts-Woluwe Kraainem Metro;1200;Woluwe-Saint-Lambert;Sint-Lambrechts-Woluwe;https://www.google.com/maps/search/?api=1&query=50.8488267%2C4.45875149;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.8488267%2C4.45875149;50.8488266981, 4.4587514927;"{""coordinates"": [4.4587514927, 50.8488266981], ""type"": ""Point""}";De Lijn;2025-05-19T02:00:00+02:00
Tram;STIB;MIVB;Bailli;Baljuw;1050;Bruxelles;Brussel;https://www.google.com/maps/search/?api=1&query=50.82762836%2C4.36335813;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.82762836%2C4.36335813;50.8276283617, 4.3633581288;"{""coordinates"": [4.3633581288, 50.8276283617], ""type"": ""Point""}";STIB;2025-05-19T02:00:00+02:00
Bus;De Lijn;De Lijn;Sint-Jans-Molenbeek Hertogin Brabant;Sint-Jans-Molenbeek Hertogin Brabant;1080;Molenbeek-Saint-Jean;Sint-Jans-Molenbeek;https://www.google.com/maps/search/?api=1&query=50.8495927%2C4.32999962;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.8495927%2C4.32999962;50.8495926955, 4.3299996175;"{""coordinates"": [4.3299996175, 50.8495926955], ""type"": ""Point""}";De Lijn;2025-05-19T02:00:00+02:00
Tram;STIB;MIVB;Suède;Zweden;1060;Saint-Gilles;Sint-Gillis;https://www.google.com/maps/search/?api=1&query=50.83406952%2C4.33578977;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.83406952%2C4.33578977;50.8340695188, 4.3357897708;"{""coordinates"": [4.3357897708, 50.8340695188], ""type"": ""Point""}";STIB;2025-05-19T02:00:00+02:00
