grid_row,grid_col,count,approx_lat,approx_lon,Bus,Métro,Tram
10,8,331,50.819993,4.342668,2.0,0.0,3.0
10,9,34,50.819993,4.34623,0.0,0.0,0.0
10,10,95,50.819993,4.34979,0.0,0.0,1.0
10,11,282,50.819993,4.353352,0.0,0.0,0.0
10,12,142,50.819993,4.356912,0.0,0.0,0.0
10,13,949,50.819993,4.360474,6.0,0.0,0.0
10,14,146,50.819993,4.364034,0.0,0.0,0.0
10,15,368,50.819993,4.367596,1.0,0.0,0.0
10,16,379,50.819993,4.371157,0.0,0.0,2.0
10,17,96,50.819993,4.374718,0.0,0.0,0.0
10,18,194,50.819993,4.378278,3.0,0.0,0.0
10,19,233,50.819993,4.38184,0.0,0.0,3.0
10,20,35,50.819993,4.3854,0.0,0.0,0.0
10,21,266,50.819993,4.388962,0.0,0.0,0.0
10,22,46,50.819993,4.392522,0.0,0.0,0.0
10,25,8,50.819993,4.403206,0.0,0.0,0.0
10,26,102,50.819993,4.406766,2.0,1.0,0.0
10,27,252,50.819993,4.410328,2.0,0.0,0.0
10,28,46,50.819993,4.413889,5.0,0.0,0.0
10,29,24,50.819993,4.41745,0.0,0.0,0.0
10,30,82,50.819993,4.42101,0.0,0.0,0.0
10,31,99,50.819993,4.424572,0.0,0.0,0.0
10,32,257,50.819993,4.428132,1.0,0.0,2.0
10,33,24,50.819993,4.431694,0.0,0.0,0.0
11,-14,24,50.82224,4.264326,0.0,0.0,0.0
11,-9,3,50.82224,4.282132,0.0,0.0,0.0
11,-8,92,50.82224,4.285693,4.0,0.0,0.0
11,-7,144,50.82224,4.289254,0.0,0.0,0.0
11,-6,79,50.82224,4.292814,0.0,1.0,0.0
11,-5,30,50.82224,4.296376,2.0,0.0,0.0
11,-4,33,50.82224,4.299936,0.0,0.0,0.0
11,-3,86,50.82224,4.303498,0.0,0.0,0.0
11,0,23,50.82224,4.31418,0.0,0.0,0.0
11,1,435,50.82224,4.317742,1.0,0.0,0.0
11,2,156,50.82224,4.321302,3.0,0.0,0.0
11,3,88,50.82224,4.324864,1.0,0.0,0.0
11,4,216,50.82224,4.328425,2.0,0.0,0.0
11,5,160,50.82224,4.331986,0.0,0.0,0.0
11,6,20,50.82224,4.335546,1.0,0.0,0.0
11,8,335,50.82224,4.342668,3.0,0.0,1.0
11,9,67,50.82224,4.34623,2.0,0.0,0.0
11,10,139,50.82224,4.34979,0.0,0.0,0.0
11,11,244,50.82224,4.353352,6.0,0.0,2.0
11,12,286,50.82224,4.356912,0.0,0.0,0.0
11,13,270,50.82224,4.360474,0.0,0.0,0.0
11,14,250,50.82224,4.364034,2.0,0.0,0.0
11,15,569,50.82224,4.367596,1.0,0.0,1.0
11,16,13,50.82224,4.371157,0.0,0.0,0.0
11,17,159,50.82224,4.374718,0.0,0.0,0.0
11,18,40,50.82224,4.378278,0.0,0.0,0.0
11,19,4,50.82224,4.38184,0.0,0.0,0.0
11,20,260,50.82224,4.3854,0.0,0.0,0.0
11,21,239,50.82224,4.388962,3.0,0.0,2.0
11,22,41,50.82224,4.392522,3.0,0.0,0.0
11,23,37,50.82224,4.396084,0.0,0.0,0.0
11,25,201,50.82224,4.403206,0.0,0.0,0.0
11,26,229,50.82224,4.406766,4.0,1.0,0.0
11,29,2,50.82224,4.41745,0.0,0.0,0.0
11,31,8,50.82224,4.424572,0.0,0.0,0.0
11,33,190,50.82224,4.431694,0.0,0.0,0.0
11,41,280,50.82224,4.460182,0.0,0.0,0.0
11,42,22,50.82224,4.463742,0.0,0.0,0.0
12,-11,18,50.824488,4.27501,0.0,0.0,0.0
12,-10,122,50.824488,4.27857,0.0,0.0,0.0
12,-9,19,50.824488,4.282132,0.0,0.0,2.0
12,-8,64,50.824488,4.285693,1.0,0.0,0.0
12,-7,53,50.824488,4.289254,2.0,0.0,0.0
12,-6,188,50.824488,4.292814,0.0,0.0,0.0
12,-5,194,50.824488,4.296376,4.0,2.0,0.0
12,-4,59,50.824488,4.299936,0.0,0.0,0.0
12,-3,102,50.824488,4.303498,0.0,0.0,0.0
12,-2,2,50.824488,4.307058,1.0,0.0,0.0
12,-1,185,50.824488,4.31062,3.0,0.0,0.0
12,0,46,50.824488,4.31418,0.0,0.0,0.0
12,1,24,50.824488,4.317742,1.0,0.0,0.0
12,2,14,50.824488,4.321302,0.0,0.0,0.0
12,3,302,50.824488,4.324864,3.0,0.0,2.0
12,4,578,50.824488,4.328425,1.0,0.0,2.0
12,5,464,50.824488,4.331986,2.0,0.0,1.0
12,6,150,50.824488,4.335546,4.0,0.0,2.0
12,7,162,50.824488,4.339108,2.0,0.0,2.0
12,8,552,50.824488,4.342668,0.0,0.0,0.0
