grid_row,grid_col,count,approx_lat,approx_lon
10,8,331,50.819993499999995,4.3426685
10,9,34,50.819993499999995,4.346229500000001
10,10,95,50.819993499999995,4.3497905
10,11,282,50.819993499999995,4.3533515000000005
10,12,142,50.819993499999995,4.3569125
10,13,949,50.819993499999995,4.3604735
10,14,146,50.819993499999995,4.3640345
10,15,368,50.819993499999995,4.3675955
10,16,379,50.819993499999995,4.3711565000000006
10,17,96,50.819993499999995,4.3747175
10,18,194,50.819993499999995,4.3782785
10,19,233,50.819993499999995,4.3818395
10,20,35,50.819993499999995,4.3854005
10,21,266,50.819993499999995,4.388961500000001
10,22,46,50.819993499999995,4.3925225
10,25,8,50.819993499999995,4.4032055
10,26,102,50.819993499999995,4.4067665
10,27,252,50.819993499999995,4.4103275
10,28,46,50.819993499999995,4.4138885000000005
10,29,24,50.819993499999995,4.4174495
10,30,82,50.819993499999995,4.4210105
10,31,99,50.819993499999995,4.4245715
10,32,257,50.819993499999995,4.4281325
10,33,24,50.819993499999995,4.431693500000001
11,-13,24,50.8222405,4.2678875000000005
11,-8,3,50.8222405,4.285692500000001
11,-7,92,50.8222405,4.2892535
11,-6,144,50.8222405,4.2928145
11,-5,79,50.8222405,4.2963755
11,-4,30,50.8222405,4.2999365
11,-3,33,50.8222405,4.303497500000001
11,-2,86,50.8222405,4.3070585
11,0,23,50.8222405,4.3141805
11,1,435,50.8222405,4.3177415
11,2,156,50.8222405,4.3213025
11,3,88,50.8222405,4.3248635
11,4,216,50.8222405,4.328424500000001
11,5,160,50.8222405,4.3319855
11,6,20,50.8222405,4.3355465
11,8,335,50.8222405,4.3426685
11,9,67,50.8222405,4.346229500000001
11,10,139,50.8222405,4.3497905
11,11,244,50.8222405,4.3533515000000005
11,12,286,50.8222405,4.3569125
11,13,270,50.8222405,4.3604735
11,14,250,50.8222405,4.3640345
11,15,569,50.8222405,4.3675955
11,16,13,50.8222405,4.3711565000000006
11,17,159,50.8222405,4.3747175
11,18,40,50.8222405,4.3782785
11,19,4,50.8222405,4.3818395
11,20,260,50.8222405,4.3854005
11,21,239,50.8222405,4.388961500000001
11,22,41,50.8222405,4.3925225
11,23,37,50.8222405,4.3960835000000005
11,25,201,50.8222405,4.4032055
11,26,229,50.8222405,4.4067665
11,29,2,50.8222405,4.4174495
11,31,8,50.8222405,4.4245715
11,33,190,50.8222405,4.431693500000001
11,41,280,50.8222405,4.4601815
11,42,22,50.8222405,4.4637425
12,-10,18,50.8244875,4.2785705
12,-9,122,50.8244875,4.2821315
12,-8,19,50.8244875,4.285692500000001
12,-7,64,50.8244875,4.2892535
12,-6,53,50.8244875,4.2928145
12,-5,188,50.8244875,4.2963755
12,-4,194,50.8244875,4.2999365
12,-3,59,50.8244875,4.303497500000001
12,-2,102,50.8244875,4.3070585
12,-1,2,50.8244875,4.3106195000000005
12,0,231,50.8244875,4.3141805
12,1,24,50.8244875,4.3177415
12,2,14,50.8244875,4.3213025
12,3,302,50.8244875,4.3248635
12,4,578,50.8244875,4.328424500000001
12,5,464,50.8244875,4.3319855
12,6,150,50.8244875,4.3355465
12,7,162,50.8244875,4.3391075
12,8,552,50.8244875,4.3426685
12,9,232,50.8244875,4.346229500000001
12,10,276,50.8244875,4.3497905
12,11,300,50.8244875,4.3533515000000005
12,12,308,50.8244875,4.3569125
12,13,486,50.8244875,4.3604735
12,14,238,50.8244875,4.3640345
12,15,459,50.8244875,4.3675955
12,16,99,50.8244875,4.3711565000000006
12,17,139,50.8244875,4.3747175
12,18,201,50.8244875,4.3782785
12,19,23,50.8244875,4.3818395
12,20,31,50.8244875,4.3854005
12,22,83,50.8244875,4.3925225
12,24,224,50.8244875,4.3996445
12,27,294,50.8244875,4.4103275
12,28,175,50.8244875,4.4138885000000005
12,30,15,50.8244875,4.4210105
12,31,91,50.8244875,4.4245715
12,33,159,50.8244875,4.431693500000001
12,37,17,50.8244875,4.4459375
12,40,179,50.8244875,4.4566205000000005
12,41,42,50.8244875,4.4601815
12,42,2,50.8244875,4.4637425
12,45,10,50.8244875,4.474425500000001
13,-11,184,50.8267345,4.2750095
13,-10,250,50.8267345,4.2785705
13,-8,3,50.8267345,4.285692500000001
13,-7,23,50.8267345,4.2892535
13,-6,49,50.8267345,4.2928145
13,-5,28,50.8267345,4.2963755
13,-4,65,50.8267345,4.2999365
13,-3,29,50.8267345,4.303497500000001
13,-2,62,50.8267345,4.3070585
13,-1,5,50.8267345,4.3106195000000005
13,0,63,50.8267345,4.3141805
13,1,24,50.8267345,4.3177415
13,3,21,50.8267345,4.3248635
13,4,341,50.8267345,4.328424500000001
13,5,16,50.8267345,4.3319855
13,6,516,50.8267345,4.3355465
13,7,159,50.8267345,4.3391075
13,8,33,50.8267345,4.3426685
13,9,460,50.8267345,4.346229500000001
13,10,155,50.8267345,4.3497905
13,11,417,50.8267345,4.3533515000000005
13,12,819,50.8267345,4.3569125
13,13,595,50.8267345,4.3604735
13,14,830,50.8267345,4.3640345
13,15,174,50.8267345,4.3675955
13,16,358,50.8267345,4.3711565000000006
13,17,114,50.8267345,4.3747175
13,18,46,50.8267345,4.3782785
13,19,68,50.8267345,4.3818395
13,20,345,50.8267345,4.3854005
13,21,268,50.8267345,4.388961500000001
13,23,59,50.8267345,4.3960835000000005
13,24,36,50.8267345,4.3996445
13,25,63,50.8267345,4.4032055
13,26,181,50.8267345,4.4067665
13,28,87,50.8267345,4.4138885000000005
13,29,210,50.8267345,4.4174495
13,33,31,50.8267345,4.431693500000001
13,37,156,50.8267345,4.4459375
13,39,24,50.8267345,4.4530595
13,40,160,50.8267345,4.4566205000000005
13,41,39,50.8267345,4.4601815
13,42,53,50.8267345,4.4637425
13,45,24,50.8267345,4.474425500000001
14,-8,47,50.8289815,4.285692500000001
14,-7,140,50.8289815,4.2892535
14,-5,157,50.8289815,4.2963755
14,-4,63,50.8289815,4.2999365
14,-3,145,50.8289815,4.303497500000001
14,-2,190,50.8289815,4.3070585
14,-1,138,50.8289815,4.3106195000000005
14,0,27,50.8289815,4.3141805
14,1,277,50.8289815,4.3177415
14,4,152,50.8289815,4.328424500000001
14,5,246,50.8289815,4.3319855
14,6,260,50.8289815,4.3355465
14,7,479,50.8289815,4.3391075
14,8,136,50.8289815,4.3426685
14,9,107,50.8289815,4.346229500000001
14,10,81,50.8289815,4.3497905
14,11,234,50.8289815,4.3533515000000005
14,12,94,50.8289815,4.3569125
14,13,504,50.8289815,4.3604735
14,14,232,50.8289815,4.3640345
14,15,176,50.8289815,4.3675955
14,16,102,50.8289815,4.3711565000000006
