OBJECTID,MDRC,NAME_FRE,NAME_DUT,NAME_BI,Quartier2,Area_km2,Dens_2010,Dens_2011,Pop_2010,Pop_2011
34,7,SABLON,ZAVEL,ZAVEL / SABLON,Sablon,0.4588,5440.0418,5897.7377,2496,2706
35,47,HAUT SAINT-GILLES,HOOG SINT-GILLIS,HOOG ST-GILLIS / HAUT ST-GILLES,Haut Saint-Gilles,0.7642,19151.3026,19772.8433,14636,15111
36,917,PARC BAUDOUIN - DIELEGEMBOS,BOUDEWIJNPARK - DIELEGEMBOS,BOUDEWIJNPARK - DIELEGEMBOS / PARC BAUDOUIN - DIELEGEMBOS,Parc Baudouin - Dielegembos,0.452,201.3408,199.1283,91,90
37,43,BRUGMANN - LEPOUTRE,BRUGMANN - LEPOUTRE,BRUGMANN - LEPOUTRE,Brugmann - Lepoutre,1.2917,12141.6461,12549.645,15683,16210
38,26,DAILLY,DAILLY,DAILLY,Dailly,0.9023,18674.7055,19589.0457,16850,17675
39,71,WOESTE,WOESTE,WOESTE,Woeste,1.0301,16914.3845,17447.3579,17423,17972
40,915,PARC ELISABETH,ELISABETHPARK,ELISABETHPARK / PARC ELISABETH,Parc Elisabeth,0.2303,0,0,0,0
41,70,BASILIQUE,BASILIEK,BASILIEK / BASILIQUE,Basilique,0.8008,15161.5803,15462.5144,12142,12383
42,74,HEYSEL,HEIZEL,HEIZEL / HEYSEL,Heysel,2.7475,4911.7022,5036.906,13495,13839
43,72,JETTE CENTRE,JETTE CENTRUM,JETTE CENTR(UM)(E),Jette Centre,0.9508,12266.3834,12593.4729,11663,11974
44,99,CHANT D'OISEAU,VOGELZANG,VOGELZANG / CHANT D'OISEAU,Chant D'Oiseau,1.5578,6299.1873,6442.978,9813,10037
45,59,SCHEUT,SCHEUT,SCHEUT,Scheut,0.9364,12728.5348,13046.7749,11919,12217
46,906,FORET DE SOIGNES,ZONIENWOUD,ZONIENWOUD / FOREST DE SOIGNES,Foret De Soignes,17.9354,4.9065,5.1853,88,93
47,907,BOIS DE LA CAMBRE,TER KAMERENBOS,TER KAMERENBOS / BOIS DE LA CAMBRE,Bois De La Cambre,1.2459,0,0,0,0
48,87,REYERS,REYERS,REYERS,Reyers,0.6153,3309.1163,3395.2574,2036,2089
49,12,CUREGHEM VETERINAIRE,KUREGEM VEEARTSENIJ,KUREGEM VEEARTSENIJ / CUREGHEM VETERINAIRE,Cureghem Veterinaire,0.667,12733.869,13143.1398,8494,8767
50,44,CHURCHILL,CHURCHILL,CHURCHILL,Churchill,1.0948,11165.1018,11322.2023,12224,12396
51,64,HOPITAL FRANCAIS,FRANS HOSPITAAL,FRANS HOSPITAAL / HOPITAL FRANCAIS,Hopital Francais,0.7919,14847.4593,15262.9053,11758,12087
52,65,KORENBEEK,KORENBEEK,KORENBEEK,Korenbeek,0.7458,10758.3396,10838.7858,8024,8084
53,910,PARC DES ETANGS,VIJVERSPARK,VIJVERSPARK / PARC DES ETANGS,Parc Des Etangs,0.0748,0,0,0,0
54,1,GRAND PLACE,GROTE MARKT,GROTE MARKT / GRAND PLACE,Grand Place,0.3809,7818.1198,8285.4218,2978,3156
55,911,PARC ASTRID,ASTRIDPARK,ASTRIDPARK / PARC ASTRID,Parc Astrid,0.1637,0,0,0,0
56,912,PARC FORESTIER,BOSPARK,BOSPARK / PARC FORESTIER,Parc Forestier,0.0463,0,0,0,0
57,9,STALINGRAD,STALINGRAD,STALINGRAD,Stalingrad,0.2382,13335.0128,13872.4441,3176,3304
58,108,MONTJOIE - LANGEVELD,MONTJOIE - LANGEVELD,MONTJOIE - LANGEVELD,Montjoie - Langeveld,1.1183,4714.2142,4749.0879,5272,5311
59,4,MARTYRS,MARTELAARS,MARTELAARS / MARTYRS,Martyrs,0.3799,4435.1442,4879.9747,1685,1854
60,5,NOTRE-DAME AUX NEIGES,ONZE LIEVE VROUW TER SNEEUW,O.L.V. TER SNEEUW / NOTRE-DAME AUX NEIGES,Notre-Dame Aux Neiges,0.2978,6750.1763,7347.9531,2010,2188
61,107,UNIVERSITE,UNIVERSITEITSWIJK,UNIVERSITEITSWIJK / UNIVERSITE,Universite,1.2425,8323.5412,8692.1529,10342,10800
62,30,PORTE TERVUEREN,TERVURENSE POORT,TERVURENSE POORT / PORTE TERVUEREN,Porte Tervueren,0.9104,10794.0379,10702.8701,9827,9744
63,96,SAINT-PAUL,SINT-PAULUS,ST-PAUL(US),Saint-Paul,1.7582,4192.475,4255.0408,7371,7481
64,103,BOITSFORT CENTRE,BOSVOORDE CENTRUM,BOSVOORDE CENTRUM / BOITSFORT CENTRE,Boitsfort Centre,1.6288,3614.2507,3595.2187,5887,5856
65,27,JOSAPHAT,JOSAPHAT,JOSAPHAT,Josaphat,0.4551,14745.8856,15130.408,6711,6886
66,40,LOUISE - LONGUE HAIE,LOUIZA - LANGEHAAG,LOUIZA - LANGEHAAG / LOUISE - LONGUE HAIE,Louise - Longue Haie,0.4365,12752.0161,12969.6664,5566,5661
67,41,BERCKMANS - HOTEL DES MONNAIES,BERCKMANS - MUNTHOF,BERCKMANS - MUNTHOF / BERCKMANS - HOTEL DES MONNAIES,Berckmans - Hotel Des Monnaies,0.4423,17401.1351,18190.2458,7696,8045
68,31,SAINT-MICHEL,SINT-MICHIEL,ST-MICH(L)EL,Saint-Michel,0.7178,8737.0254,8884.7092,6271,6377
69,32,SAINT-PIERRE,SINT-PIETER,ST-PIETER / ST-PIERRE,Saint-Pierre,0.801,16502.6968,16768.6276,13218,13431
70,2,DANSAERT,DANSAERT,DANSAERT,Dansaert,0.5233,16171.4406,16647.2398,8463,8712
71,94,STOCKEL,STOKKEL,STOKKEL / STOCKEL,Stockel,1.4986,5304.3194,5318.9999,7949,7971
72,95,SAINTE-ALIX  - JOLI BOIS,SINTE-ALEIDIS - MOOIBOS,ST-ALEIDIS - MOOIBOS / STE-ALIX  - JOLI BOIS,Sainte-Alix  - Joli Bois,0.9818,4573.326,4539.7136,4490,4457
73,82,TERDELT,TERDELT,TERDELT,Terdelt,0.6924,12688.3025,13313.6907,8785,9218
74,914,SCHEUTBOS,SCHEUTBOS,SCHEUTBOS,Scheutbos,0.4697,244.8215,249.0793,115,117
75,45,MOLIERE - LONGCHAMP,MOLIERE - LONGCHAMP,MOLIERE - LONGCHAMP,Moliere - Longchamp,0.5356,16823.1977,16948.2981,9010,9077
